[23:14:50] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.5
[23:14:50] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.5
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[23:14:50] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/mc-repost/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.3+mixin.0.8.7/sponge-mixin-0.15.3+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[23:14:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:14:57] [main/INFO]: Loaded 7 recipes
[23:14:57] [main/INFO]: Loaded 1271 advancements
[23:14:58] [Server thread/INFO]: Starting minecraft server version 1.20.1
[23:14:58] [Server thread/INFO]: Loading properties
[23:14:58] [Server thread/INFO]: Default game type: SURVIVAL
[23:14:58] [Server thread/INFO]: Generating keypair
[23:14:58] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:14:58] [Server thread/INFO]: Using epoll channel type
[23:14:58] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:14:58] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:14:58] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:14:58] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:14:58] [Server thread/INFO]: Preparing level "world"
[23:15:04] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:15:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:15:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[23:15:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[23:15:06] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[23:15:06] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[23:15:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:15:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:15:08] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[23:15:08] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[23:15:09] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[23:15:09] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[23:15:10] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[23:15:10] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[23:15:11] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[23:15:11] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[23:15:12] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[23:15:12] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[23:15:13] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[23:15:13] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[23:15:14] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[23:15:14] [Worker-Main-1/INFO]: Preparing spawn area: 15%
